no,name,start,end,loc
0,乙晓光,1974,1977,河北省保定市保定市
1,乙晓光,1977,1979,北京市北京市北京市
2,乙晓光,1979,1989,四川省成都市成都市
3,乙晓光,1989,1992,云南省昆明市昆明市
4,乙晓光,1992,1996,北京市北京市北京市
5,乙晓光,1996,2003,湖北省武汉市武汉市
6,乙晓光,2003,2004,广东省广州市广州市
7,乙晓光,2004,2008,北京市北京市北京市
8,乙晓光,2008,2010,北京市北京市北京市
9,乙晓光,2010,2012,江苏省南京市南京市
10,乙晓光,2012,2014,北京市北京市北京市
11,乙晓光,2014,2016,北京市北京市北京市
12,乙晓光,2016,2018,北京市北京市北京市
13,丁来杭,1957,2001,北京市北京市北京市
14,丁来杭,2001,2003,北京市北京市北京市
15,丁来杭,2003,2007,福建省福州市福州市
16,丁来杭,2007,2009,北京市北京市北京市
17,丁来杭,2009,2012,四川省成都市成都市
18,丁来杭,2012,2016,辽宁省沈阳市沈阳市
19,丁来杭,2016,2017,北京市北京市北京市
20,丁来杭,2017,2018,北京市北京市北京市
21,丁学东,1987,1991,北京市北京市北京市
22,丁学东,1991,1994,北京市北京市北京市
23,丁学东,1994,1997,北京市北京市北京市
24,丁学东,1997,1998,北京市北京市北京市
25,丁学东,1998,2000,北京市北京市北京市
26,丁学东,2000,2005,北京市北京市北京市
27,丁学东,2005,2006,北京市北京市北京市
28,丁学东,2006,2008,北京市北京市北京市
29,丁学东,2008,2010,北京市北京市北京市
30,丁学东,2010,2013,北京市北京市北京市
31,丁学东,2013,2014,北京市北京市北京市
32,丁学东,2014,2017,北京市北京市北京市
33,丁学东,2017,2018,北京市北京市北京市
34,丁学东,2017,2018,北京市北京市北京市
35,丁薛祥,1978,1982,北京市北京市北京市
36,丁薛祥,1982,1984,上海市上海市上海市
37,丁薛祥,1984,1988,上海市上海市上海市
38,丁薛祥,1988,1992,上海市上海市上海市
39,丁薛祥,1992,1994,上海市上海市上海市
40,丁薛祥,1994,1996,上海市上海市上海市
41,丁薛祥,1989,1994,北京市北京市北京市
42,丁薛祥,1996,1999,上海市上海市上海市
43,丁薛祥,1999,2001,上海市上海市上海市
44,丁薛祥,2001,2004,上海市上海市闸北区
45,丁薛祥,2004,2006,上海市上海市上海市
46,丁薛祥,2006,2007,上海市上海市上海市
47,丁薛祥,2007,2012,上海市上海市上海市
48,丁薛祥,2012,2013,上海市上海市上海市
